,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,opt,last_p,sar_diff_day
38,38,2019-06-27 11:30:00,13.76,13.75,13.76,13.73,663000.0,9115710.0,2019-06-27 11:30:00,2019-06-27,0.05866490362958565,0.06969968234394298,-0.011034778714357332,46.92640973604327,60.203969780406766,62.43751992881555,13.693755343932423,75.00000000000057,84.42307692307726,13.79014786150716,13.766147861513772,13.742147861520385,-0.019999999999999574,-1.0,13.36,-0.3699999999999992
39,39,2019-06-27 13:05:00,13.75,13.77,13.77,13.74,1319900.0,18151610.0,2019-06-27 13:05:00,2019-06-27,0.05623198944705443,0.06700614376456528,-0.010774154317510845,60.52314789725267,63.228035279169944,63.44302393274776,13.698067576735802,70.833333333334,76.6666666666672,13.789741540560792,13.765741540567404,13.741741540574017,0.0,-1.0,13.36,-0.3349999999999991
40,40,2019-06-27 13:10:00,13.76,13.76,13.77,13.74,865600.0,11907596.0,2019-06-27 13:10:00,2019-06-27,0.05288731891148757,0.06418237879394974,-0.011295059882462169,52.16988477217597,60.71162270003453,62.57659148104856,13.702164197899013,72.22222222222261,72.68518518518573,13.788394567627295,13.765070760060297,13.7417469524933,-0.009999999999999787,-1.0,13.36,-0.3349999999999991
41,41,2019-06-27 13:15:00,13.76,13.77,13.78,13.75,1914800.0,26358141.0,2019-06-27 13:15:00,2019-06-27,0.05046186685186704,0.0614382764055332,-0.010976409553666154,59.20749267607358,62.34643112492323,63.097935926322855,13.706055988004062,78.05555555555567,73.7037037037041,13.783228738670532,13.765340194863583,13.747451651056634,-0.009999999999999787,-1.0,13.36,-0.3349999999999991
42,42,2019-06-27 13:20:00,13.78,13.85,13.85,13.78,8189800.0,113154749.0,2019-06-27 13:20:00,2019-06-27,0.054368286271230915,0.06002427837867274,-0.005655992107441825,83.49400944817299,72.37745074506051,66.91260784854825,13.709753188603859,82.22222222222224,77.50000000000017,13.847243737451427,13.775689562173582,13.704135386895738,0.09999999999999964,-1.0,13.36,-0.3349999999999991
43,43,2019-06-27 13:25:00,13.85,13.83,13.85,13.83,3242100.0,44881144.0,2019-06-27 13:25:00,2019-06-27,0.05521384808103136,0.05906219231914446,-0.0038483442381131022,70.3965711933822,67.47502990899513,65.17032099460067,13.723777869743472,87.77777777777789,82.68518518518526,13.863666417974935,13.79034520685827,13.717023995741604,0.08000000000000007,-1.0,13.36,-0.3349999999999991
44,44,2019-06-27 13:30:00,13.83,13.79,13.84,13.79,1621400.0,22413064.0,2019-06-27 13:30:00,2019-06-27,0.052056224449609445,0.05766099874523746,-0.005604774295628015,50.56618274295528,58.78724654615258,61.83892042987822,13.736400082769125,77.77777777777764,82.5925925925926,13.869526936751747,13.800244904451944,13.73096287215214,0.019999999999999574,-1.0,13.36,-0.3349999999999991
45,45,2019-06-27 13:35:00,13.79,13.78,13.8,13.78,1349100.0,18608256.0,2019-06-27 13:35:00,2019-06-27,0.04819134867627817,0.0557670687314456,-0.007575720055167434,46.47499778008909,56.79295373776089,61.03206023476165,13.747760074492213,58.333333333332995,74.62962962962952,13.864792681666176,13.80334351568402,13.741894349701864,0.019999999999999574,-1.0,13.36,-0.33449999999999847
46,46,2019-06-27 13:40:00,13.78,13.8,13.8,13.74,1312300.0,18076224.0,2019-06-27 13:40:00,2019-06-27,0.046209564538468584,0.0538555678928502,-0.007646003354381613,55.48000491024775,59.77056688393784,62.056363587770505,13.85,49.99999999999978,62.03703703703681,13.85610028457519,13.80394666533401,13.75179304609283,0.030000000000001137,-1.0,13.36,-0.33449999999999847
47,47,2019-06-27 13:45:00,13.79,13.8,13.8,13.78,832500.0,11481924.0,2019-06-27 13:45:00,2019-06-27,0.04413027993433438,0.05191051030114703,-0.007780230366812649,55.48000491024775,59.77056688393784,62.056363587770505,13.8445,51.515151515151786,53.2828282828282,13.83720843898531,13.80374203792713,13.770275636868949,-0.049999999999998934,-1.0,13.36,-0.33449999999999847
48,48,2019-06-27 13:50:00,13.79,13.75,13.8,13.72,1913200.0,26293890.0,2019-06-27 13:50:00,2019-06-27,0.03800969763839568,0.04913034776859676,-0.011120650130201082,33.47846926899637,49.60063464826468,57.979009194799694,13.839275,45.318570318570686,48.944573944574095,13.834580853104834,13.797486379125239,13.760391905145644,-0.08000000000000007,-1.0,13.36,-0.33449999999999847
49,49,2019-06-27 13:55:00,13.75,13.74,13.75,13.73,511700.0,7030712.0,2019-06-27 13:55:00,2019-06-27,0.03198348988359001,0.04570097619159541,-0.0137174863080054,30.458737232670007,47.825194699591435,57.201416496522285,13.8273475,31.00233100233109,42.612017612017866,13.836013631850106,13.786053647865685,13.736093663881265,-0.049999999999998934,-1.0,13.36,-0.33449999999999847
50,50,2019-06-27 14:00:00,13.74,13.73,13.75,13.73,570600.0,7838779.0,2019-06-27 14:00:00,2019-06-27,0.026099897028586838,0.041780760358993696,-0.015680863330406858,27.372512868590924,46.0278634269406,56.418658706700455,13.81661275,15.38461538461519,30.568505568505667,13.83181421774706,13.771681032236692,13.711547846726324,-0.049999999999998934,-1.0,13.36,-0.33449999999999847
51,51,2019-06-27 14:05:00,13.73,13.7,13.74,13.69,1060700.0,14544521.0,2019-06-27 14:05:00,2019-06-27,0.018799647389725394,0.03718453776514004,-0.018384890375414645,19.835616145393526,40.986768469095594,54.12026186782948,13.806951475000002,9.775641025640889,18.7208624708624,13.819192938613536,13.753954912897143,13.68871688718075,-0.10000000000000142,-1.0,13.36,-0.215325
